date_key,full_date,year,quarter,month_number,month_name,month_short,week_of_year,day_of_week_number,day_of_week_name,day_of_week_short,day_of_month,weekday_indicator,year_quarter,year_month
20160225,2016-02-25,2016,1,2,February,Feb,8,4,Thursday,Thu,25,Weekday,2016-Q1,2016-02
20160226,2016-02-26,2016,1,2,February,Feb,8,5,Friday,Fri,26,Weekday,2016-Q1,2016-02
20160227,2016-02-27,2016,1,2,February,Feb,8,6,Saturday,Sat,27,Weekend,2016-Q1,2016-02
20160228,2016-02-28,2016,1,2,February,Feb,8,7,Sunday,Sun,28,Weekend,2016-Q1,2016-02
20160229,2016-02-29,2016,1,2,February,Feb,9,1,Monday,Mon,29,Weekday,2016-Q1,2016-02
20160301,2016-03-01,2016,1,3,March,Mar,9,2,Tuesday,Tue,1,Weekday,2016-Q1,2016-03
20160302,2016-03-02,2016,1,3,March,Mar,9,3,Wednesday,Wed,2,Weekday,2016-Q1,2016-03
20160303,2016-03-03,2016,1,3,March,Mar,9,4,Thursday,Thu,3,Weekday,2016-Q1,2016-03
20160304,2016-03-04,2016,1,3,March,Mar,9,5,Friday,Fri,4,Weekday,2016-Q1,2016-03
20160305,2016-03-05,2016,1,3,March,Mar,9,6,Saturday,Sat,5,Weekend,2016-Q1,2016-03
20160306,2016-03-06,2016,1,3,March,Mar,9,7,Sunday,Sun,6,Weekend,2016-Q1,2016-03
20160307,2016-03-07,2016,1,3,March,Mar,10,1,Monday,Mon,7,Weekday,2016-Q1,2016-03
20160308,2016-03-08,2016,1,3,March,Mar,10,2,Tuesday,Tue,8,Weekday,2016-Q1,2016-03
20160309,2016-03-09,2016,1,3,March,Mar,10,3,Wednesday,Wed,9,Weekday,2016-Q1,2016-03
20160310,2016-03-10,2016,1,3,March,Mar,10,4,Thursday,Thu,10,Weekday,2016-Q1,2016-03
20160311,2016-03-11,2016,1,3,March,Mar,10,5,Friday,Fri,11,Weekday,2016-Q1,2016-03
20160312,2016-03-12,2016,1,3,March,Mar,10,6,Saturday,Sat,12,Weekend,2016-Q1,2016-03
20160313,2016-03-13,2016,1,3,March,Mar,10,7,Sunday,Sun,13,Weekend,2016-Q1,2016-03
20160314,2016-03-14,2016,1,3,March,Mar,11,1,Monday,Mon,14,Weekday,2016-Q1,2016-03
20160315,2016-03-15,2016,1,3,March,Mar,11,2,Tuesday,Tue,15,Weekday,2016-Q1,2016-03
20160316,2016-03-16,2016,1,3,March,Mar,11,3,Wednesday,Wed,16,Weekday,2016-Q1,2016-03
20160317,2016-03-17,2016,1,3,March,Mar,11,4,Thursday,Thu,17,Weekday,2016-Q1,2016-03
20160318,2016-03-18,2016,1,3,March,Mar,11,5,Friday,Fri,18,Weekday,2016-Q1,2016-03
20160319,2016-03-19,2016,1,3,March,Mar,11,6,Saturday,Sat,19,Weekend,2016-Q1,2016-03
20160320,2016-03-20,2016,1,3,March,Mar,11,7,Sunday,Sun,20,Weekend,2016-Q1,2016-03
20160321,2016-03-21,2016,1,3,March,Mar,12,1,Monday,Mon,21,Weekday,2016-Q1,2016-03
20160322,2016-03-22,2016,1,3,March,Mar,12,2,Tuesday,Tue,22,Weekday,2016-Q1,2016-03
20160323,2016-03-23,2016,1,3,March,Mar,12,3,Wednesday,Wed,23,Weekday,2016-Q1,2016-03
20160324,2016-03-24,2016,1,3,March,Mar,12,4,Thursday,Thu,24,Weekday,2016-Q1,2016-03
20160325,2016-03-25,2016,1,3,March,Mar,12,5,Friday,Fri,25,Weekday,2016-Q1,2016-03
20160326,2016-03-26,2016,1,3,March,Mar,12,6,Saturday,Sat,26,Weekend,2016-Q1,2016-03
20160327,2016-03-27,2016,1,3,March,Mar,12,7,Sunday,Sun,27,Weekend,2016-Q1,2016-03
20160328,2016-03-28,2016,1,3,March,Mar,13,1,Monday,Mon,28,Weekday,2016-Q1,2016-03
20160329,2016-03-29,2016,1,3,March,Mar,13,2,Tuesday,Tue,29,Weekday,2016-Q1,2016-03
20160330,2016-03-30,2016,1,3,March,Mar,13,3,Wednesday,Wed,30,Weekday,2016-Q1,2016-03
20160331,2016-03-31,2016,1,3,March,Mar,13,4,Thursday,Thu,31,Weekday,2016-Q1,2016-03
20160401,2016-04-01,2016,2,4,April,Apr,13,5,Friday,Fri,1,Weekday,2016-Q2,2016-04
20160402,2016-04-02,2016,2,4,April,Apr,13,6,Saturday,Sat,2,Weekend,2016-Q2,2016-04
20160403,2016-04-03,2016,2,4,April,Apr,13,7,Sunday,Sun,3,Weekend,2016-Q2,2016-04
20160404,2016-04-04,2016,2,4,April,Apr,14,1,Monday,Mon,4,Weekday,2016-Q2,2016-04
20160405,2016-04-05,2016,2,4,April,Apr,14,2,Tuesday,Tue,5,Weekday,2016-Q2,2016-04
20160406,2016-04-06,2016,2,4,April,Apr,14,3,Wednesday,Wed,6,Weekday,2016-Q2,2016-04
20160407,2016-04-07,2016,2,4,April,Apr,14,4,Thursday,Thu,7,Weekday,2016-Q2,2016-04
20160408,2016-04-08,2016,2,4,April,Apr,14,5,Friday,Fri,8,Weekday,2016-Q2,2016-04
20160409,2016-04-09,2016,2,4,April,Apr,14,6,Saturday,Sat,9,Weekend,2016-Q2,2016-04
20160410,2016-04-10,2016,2,4,April,Apr,14,7,Sunday,Sun,10,Weekend,2016-Q2,2016-04
20160411,2016-04-11,2016,2,4,April,Apr,15,1,Monday,Mon,11,Weekday,2016-Q2,2016-04
20160412,2016-04-12,2016,2,4,April,Apr,15,2,Tuesday,Tue,12,Weekday,2016-Q2,2016-04
20160413,2016-04-13,2016,2,4,April,Apr,15,3,Wednesday,Wed,13,Weekday,2016-Q2,2016-04
20160414,2016-04-14,2016,2,4,April,Apr,15,4,Thursday,Thu,14,Weekday,2016-Q2,2016-04
20160415,2016-04-15,2016,2,4,April,Apr,15,5,Friday,Fri,15,Weekday,2016-Q2,2016-04
20160416,2016-04-16,2016,2,4,April,Apr,15,6,Saturday,Sat,16,Weekend,2016-Q2,2016-04
20160417,2016-04-17,2016,2,4,April,Apr,15,7,Sunday,Sun,17,Weekend,2016-Q2,2016-04
20160418,2016-04-18,2016,2,4,April,Apr,16,1,Monday,Mon,18,Weekday,2016-Q2,2016-04
20160419,2016-04-19,2016,2,4,April,Apr,16,2,Tuesday,Tue,19,Weekday,2016-Q2,2016-04
20160420,2016-04-20,2016,2,4,April,Apr,16,3,Wednesday,Wed,20,Weekday,2016-Q2,2016-04
20160421,2016-04-21,2016,2,4,April,Apr,16,4,Thursday,Thu,21,Weekday,2016-Q2,2016-04
20160422,2016-04-22,2016,2,4,April,Apr,16,5,Friday,Fri,22,Weekday,2016-Q2,2016-04
20160423,2016-04-23,2016,2,4,April,Apr,16,6,Saturday,Sat,23,Weekend,2016-Q2,2016-04
20160424,2016-04-24,2016,2,4,April,Apr,16,7,Sunday,Sun,24,Weekend,2016-Q2,2016-04
20160425,2016-04-25,2016,2,4,April,Apr,17,1,Monday,Mon,25,Weekday,2016-Q2,2016-04
20160426,2016-04-26,2016,2,4,April,Apr,17,2,Tuesday,Tue,26,Weekday,2016-Q2,2016-04
20160427,2016-04-27,2016,2,4,April,Apr,17,3,Wednesday,Wed,27,Weekday,2016-Q2,2016-04
20160428,2016-04-28,2016,2,4,April,Apr,17,4,Thursday,Thu,28,Weekday,2016-Q2,2016-04
20160429,2016-04-29,2016,2,4,April,Apr,17,5,Friday,Fri,29,Weekday,2016-Q2,2016-04
20160430,2016-04-30,2016,2,4,April,Apr,17,6,Saturday,Sat,30,Weekend,2016-Q2,2016-04
20160501,2016-05-01,2016,2,5,May,May,17,7,Sunday,Sun,1,Weekend,2016-Q2,2016-05
20160502,2016-05-02,2016,2,5,May,May,18,1,Monday,Mon,2,Weekday,2016-Q2,2016-05
20160503,2016-05-03,2016,2,5,May,May,18,2,Tuesday,Tue,3,Weekday,2016-Q2,2016-05
20160504,2016-05-04,2016,2,5,May,May,18,3,Wednesday,Wed,4,Weekday,2016-Q2,2016-05
20160505,2016-05-05,2016,2,5,May,May,18,4,Thursday,Thu,5,Weekday,2016-Q2,2016-05
20160506,2016-05-06,2016,2,5,May,May,18,5,Friday,Fri,6,Weekday,2016-Q2,2016-05
20160507,2016-05-07,2016,2,5,May,May,18,6,Saturday,Sat,7,Weekend,2016-Q2,2016-05
20160508,2016-05-08,2016,2,5,May,May,18,7,Sunday,Sun,8,Weekend,2016-Q2,2016-05
20160509,2016-05-09,2016,2,5,May,May,19,1,Monday,Mon,9,Weekday,2016-Q2,2016-05
20160510,2016-05-10,2016,2,5,May,May,19,2,Tuesday,Tue,10,Weekday,2016-Q2,2016-05
20160511,2016-05-11,2016,2,5,May,May,19,3,Wednesday,Wed,11,Weekday,2016-Q2,2016-05
20160512,2016-05-12,2016,2,5,May,May,19,4,Thursday,Thu,12,Weekday,2016-Q2,2016-05
20160513,2016-05-13,2016,2,5,May,May,19,5,Friday,Fri,13,Weekday,2016-Q2,2016-05
20160514,2016-05-14,2016,2,5,May,May,19,6,Saturday,Sat,14,Weekend,2016-Q2,2016-05
20160515,2016-05-15,2016,2,5,May,May,19,7,Sunday,Sun,15,Weekend,2016-Q2,2016-05
20160516,2016-05-16,2016,2,5,May,May,20,1,Monday,Mon,16,Weekday,2016-Q2,2016-05
20160517,2016-05-17,2016,2,5,May,May,20,2,Tuesday,Tue,17,Weekday,2016-Q2,2016-05
20160518,2016-05-18,2016,2,5,May,May,20,3,Wednesday,Wed,18,Weekday,2016-Q2,2016-05
20160519,2016-05-19,2016,2,5,May,May,20,4,Thursday,Thu,19,Weekday,2016-Q2,2016-05
20160520,2016-05-20,2016,2,5,May,May,20,5,Friday,Fri,20,Weekday,2016-Q2,2016-05
20160521,2016-05-21,2016,2,5,May,May,20,6,Saturday,Sat,21,Weekend,2016-Q2,2016-05
20160522,2016-05-22,2016,2,5,May,May,20,7,Sunday,Sun,22,Weekend,2016-Q2,2016-05
20160523,2016-05-23,2016,2,5,May,May,21,1,Monday,Mon,23,Weekday,2016-Q2,2016-05
20160524,2016-05-24,2016,2,5,May,May,21,2,Tuesday,Tue,24,Weekday,2016-Q2,2016-05
20160525,2016-05-25,2016,2,5,May,May,21,3,Wednesday,Wed,25,Weekday,2016-Q2,2016-05
20160526,2016-05-26,2016,2,5,May,May,21,4,Thursday,Thu,26,Weekday,2016-Q2,2016-05
20160527,2016-05-27,2016,2,5,May,May,21,5,Friday,Fri,27,Weekday,2016-Q2,2016-05
20160528,2016-05-28,2016,2,5,May,May,21,6,Saturday,Sat,28,Weekend,2016-Q2,2016-05
20160529,2016-05-29,2016,2,5,May,May,21,7,Sunday,Sun,29,Weekend,2016-Q2,2016-05
20160530,2016-05-30,2016,2,5,May,May,22,1,Monday,Mon,30,Weekday,2016-Q2,2016-05
20160531,2016-05-31,2016,2,5,May,May,22,2,Tuesday,Tue,31,Weekday,2016-Q2,2016-05
